Share of modern renewables in total final energy consumption (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;7,58;7,28;7,62;8,23;8,88;9,14;7,67;8,87;8,73;7,73;8,84;10,82;10,85;10,01;8,57;9,06;8,63;7,21;7,14;8,06;8,29;8,33;8,17;8,43;9,28;8,9;8,91;9,91;10,06;10,26;9,33;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;2,12;2,31;6,68;12,93;17,76;9,27;12,47;10,12;9,38;8,36;7,16;5,42;8,9;9,81;8,71;6,49;7,65;7,02;6,4;7,8;9,36;8,01;6,56;6,77;7,08;10,74;13,15;12,56;11,13;10,34;8,38;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,17;5,37;6,54;6,58;6,6;6,4;6,64;6,37;7,97;7,94;8,25;8,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;8,01;8,25;7,52;8,62;8,26;8,22;8,87;9,08;8,6;8,51;8,42;8,37;8,74;7,15;6,68;6,71;6,85;6,95;6,79;7,15;8,16;8,32;8,3;9,22;9,33;9,32;9,36;9,65;9,6;10,06;10,89;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Austria;25,17;24,53;26,17;26,39;25,72;25,67;24,08;24,92;24,46;26,49;26,43;25,53;24,68;22,56;23,17;24,41;26,64;28,99;29,68;31,31;31,15;31,64;34,37;34,58;35,67;34,82;34,63;33,97;34,08;33,98;35,77;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azerbaijan;0,72;0,8;1,22;1,98;1,52;1,37;1,74;1,99;2,48;2,14;2,07;1,75;2,35;2,94;3,07;3,36;2,86;3,78;3,08;3,27;4,45;3,55;2,84;2,52;2,12;2,33;1,94;1,91;1,93;1,62;1,23;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bahamas;0;0;0;0;0;0;0;0;0;0;0;0,42;0,38;1,54;1,59;1,71;2,01;3,54;1,97;1,53;1,3;1,44;1,41;1,43;1,4;1,45;1,33;1,15;1,2;1,18;1,41;1,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bahrain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bangladesh;0,49;0,46;0,48;0,4;0,54;0,22;0,45;0,41;0,49;0,46;0,42;0,5;0,38;0,36;0,35;0,34;0,33;0,33;0,38;0,16;0,27;0,3;0,26;0,33;0,25;0,31;0,36;0,36;0,35;0,3;0,37;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbados;13,08;12,53;11,88;10,93;9,97;10,35;10,67;9,52;7,32;7,86;7,87;7,63;6,92;6,14;6,23;6,33;6,54;6,31;5,63;6,05;6,36;3,07;2,96;2,32;2,27;2,07;2,35;3,41;4,09;2,75;4,51;4,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
